Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C_PCA1","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.600000,-74.275000,270.000000,top
"PCA1","PCA9685PW","TSSOP-28_4.4x9.7mm_P0.65mm",104.600000,-78.200000,0.000000,top
"PWR_LED1","Green","LED_0805_2012Metric",95.337500,-65.300000,0.000000,top
"R1","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",110.475000,-77.250000,0.000000,top
"R2","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",88.750000,-69.600000,0.000000,top
"R3","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",88.825000,-72.100000,0.000000,top
"R4","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",88.850000,-74.600000,0.000000,top
"R5","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",96.725000,-69.600000,0.000000,top
"R6","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",96.725000,-72.100000,0.000000,top
"R7","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",96.725000,-74.600000,0.000000,top
"RN1","200Ohm","R_Array_Convex_4x1206",92.000000,-81.500000,270.000000,top
"RN2","200","R_Array_Convex_4x1206",85.600000,-81.500000,270.000000,top
"RN3","200","R_Array_Convex_4x1206",119.000000,-82.300000,270.000000,top
"RShunt1","0.05Ohm","R_1210_3225Metric",66.100000,-91.400000,90.000000,top
"RShunt2","0.05Ohm","R_1210_3225Metric",72.900000,-91.400000,90.000000,top
"RShunt3","0.05Ohm","R_1210_3225Metric",79.700000,-91.400000,90.000000,top
"RShunt4","0.05Ohm","R_1210_3225Metric",86.600000,-91.450000,90.000000,top
"RShunt5","0.05Ohm","R_1210_3225Metric",93.400000,-91.450000,90.000000,top
"RShunt6","0.05Ohm","R_1210_3225Metric",100.200000,-91.450000,90.000000,top
"RShunt7","0.05Ohm","R_1210_3225Metric",107.100000,-91.450000,90.000000,top
"RShunt8","0.05Ohm","R_1210_3225Metric",113.900000,-91.450000,90.000000,top
"RShunt9","0.05Ohm","R_1210_3225Metric",120.750000,-91.450000,90.000000,top
"RShunt10","0.05","R_1210_3225Metric",127.600000,-91.450000,90.000000,top
"RShunt11","0.05","R_1210_3225Metric",134.400000,-91.450000,90.000000,top
"RShunt12","0.05","R_1210_3225Metric",141.250000,-91.450000,90.000000,top
"R_PWR_LED1","470","R_0805_2012Metric",95.262500,-62.900000,0.000000,top
